Taxon,Population,Mother tree voucher,Year planted,Current status
Eucalyptus albida,"Pingaring, WA",3437,2001,Mature
Eucalyptus albida,"Watheroo, WA",2214,1999,Dead
Eucalyptus albopurpurea,"Kangaroo Island, SA",825,1995,Mature
Eucalyptus albopurpurea,"Port Lincoln 1, SA",942,1995,Mature
Eucalyptus albopurpurea,"Port Lincoln 2, SA",3180,2001,Mature
Eucalyptus alipes,"Hyden, WA",3678,2001,Mature
Eucalyptus alipes,"Lort River, WA",5480,2011,Mature
Eucalyptus alipes,"Varley, WA",3675,2001,Mature
Eucalyptus alligatrix subsp. alligatrix,Eildon VIC,1774,1997,Mature
Eucalyptus alligatrix subsp. alligatrix (subsp. limaensis),"Swanpool, VIC",1773,1997,Mature
Eucalyptus alligatrix subsp. miscella,"Rylstone, NSW",776,1994,Mature
Eucalyptus alpina (E. baxteri - E. serraensis intergrade),"Mount William, VIC",7046,2017,Immature
Eucalyptus ammophila,"Bollon, QLD",6497,2013,Mature
Eucalyptus ammophila,"Jericho, QLD",1284,1996,Mature
Eucalyptus ammophila,"White Mountains, QLD",5114,2010,Mature
Eucalyptus amplifolia subsp. amplifolia,"Nerriga, NSW",604,1994,Mature
Eucalyptus amplifolia subsp. sessiliflora,"Tenterfield, NSW",668,1994,Mature
Eucalyptus amygdalina,"Cape Tourville, TAS",6722,2015,Immature
Eucalyptus amygdalina,"Orford, TAS",1987,1998,Matured then died
Eucalyptus ancophila,"Macksville, NSW",646,1994,Mature
Eucalyptus andrewsii,"Wallangarra, QLD",670,1994,Mature
Eucalyptus angophoroides,"Genoa, VIC",1745,1997,Mature
Eucalyptus angulosa,"Bremer Bay, WA",3746,2001,Mature
Eucalyptus angulosa,"Point Bollingbroke, SA",5905,2013,Mature
Eucalyptus angulosa,"Port Lincoln, SA",939,1995,Mature
Eucalyptus angulosa,"Toolinna Cove, WA",5983,2013,Mature
Eucalyptus angulosa,"Two Peoples Bay, WA",1136,1995,Mature
Eucalyptus angulosa (E. grossifolia),"Wellstead, WA",3554,2001,Mature
Eucalyptus angustissima,"Bilbunya Dunes, WA",5996,2013,Mature
Eucalyptus angustissima,"Lort River 1, WA",150,1993,Mature
Eucalyptus angustissima,"Lort River 2, WA",2264,2001,Mature
Eucalyptus annettae,"Tookle Jenna Rock, WA",6359,2013,Mature
Eucalyptus annulata,"Jerramungup, WA",206,1993,Mature
Eucalyptus apiculata,"Berrima, NSW",617,1994,Dead
Eucalyptus apiculata (E. laophila),"Wollemi Nat. Park, NSW",772,1998,Mature
Eucalyptus apodophylla,"Pine Creek, NT",2456,1999,Immature
Eucalyptus apodophylla,"Pine Creek, NT",2456,2010,Immature
Eucalyptus apothalassica,"Eidsvold, QLD",1263,1996,Immature
Eucalyptus apotholassica,"Eidsvold, QLD",1263,1998,Mature
Eucalyptus approximans,"Barren Mountain, NSW",2090,2010,Mature
Eucalyptus aquilina,"Lucky Bay, WA",176,1993,Matured then died
Eucalyptus aquilina,"Sandy Hook Island, WA",4604,2006,Mature
Eucalyptus arachnaea subsp. arachnaea,"Cadoux, WA",296,1993,Mature
Eucalyptus arachnaea subsp. arrecta,"Carnamah, WA",5556,2011,Mature
Eucalyptus arachnaea subsp. arrecta,"Morawa, WA",2216,1999,Mature
Eucalyptus arborella,"Corackerup Creek, WA",4803,2006,Mature
Eucalyptus arborella,"Twertup, WA",1127,1995,Mature
Eucalyptus arcana,"Carpenter Rocks, SA",1800,1997,Mature
Eucalyptus arcana,"Moonlight Head, VIC",4319,2004,Mature
Eucalyptus archeri,"Breona 1, TAS",1990,1998,Dead
Eucalyptus archeri,"Breona 2, TAS",7389,2018,Immature
Eucalyptus arenacea,"Pinnaroo, SA",1588,1997,Mature
Eucalyptus arenicola,"Holey Plains State Park, VIC",6786,2015,Immature
Eucalyptus argillacea,"Mount House Station, WA",4241,2002,Immature
Eucalyptus argophloia,"Chinchilla, QLD",686,1994,Mature
Eucalyptus argutifolia,"Lake Clifton, WA",4626,2006,Dead
Eucalyptus argutifolia,"Seabird, WA",249,1993,Mature
Eucalyptus aridimontana,"Mount Nameless 1, WA",1191,1995,Mature
Eucalyptus aridimontana,"Mount Nameless 1, WA",1191,2002,Mature
Eucalyptus aridimontana,"Mount Nameless 2, WA",5766,2011,Immature
Eucalyptus aridimontana,"Mount Sheila, WA",5778,2011,Mature
Eucalyptus armillata (E. erythronema var. marginata),"Pithara, WA",287,1993,Mature
Eucalyptus aromaphloia,"Anglesea, VIC",426,1993,Mature
Eucalyptus aromaphloia,"Lorne, VIC",4313,2004,Mature
Eucalyptus aromaphloia,"Mount William, VIC",355,1995,Matured then died
Eucalyptus articulata,"Lake Minigwal, WA",520,1994,Mature
Eucalyptus aspersa,"Dryandra 1, WA",1888,1997,Dead
Eucalyptus aspersa,"Dryandra 2, WA",1890,1997,Mature
Eucalyptus aspersa,"North Bannister, WA",1149,1995,Dead
Eucalyptus aspratilis,"Mount Day,  WA",328,1993,Mature
Eucalyptus aspratilis,"Wallaroo Rock, WA",7001,2017,Immature
Eucalyptus assimilans,"Balladonia, WA",1826,1997,Mature
Eucalyptus assimilans,"Fraser Range, WA",4551,2004,Mature
Eucalyptus astringens subsp. astringens,"Dragon Rocks, WA",3438,2001,Mature
Eucalyptus astringens subsp. astringens,"Toodyay, WA",3503,2001,Mature
Eucalyptus astringens subsp. astringens,"Tutanning Nature Res., WA",3423,2001,Mature
Eucalyptus astringens subsp. redacta,"Beaufort Inlet, WA",214,1993,Mature
Eucalyptus astringens subsp. redacta,"Beaufort Inlet, WA",214,1996,Mature
Eucalyptus astringens subsp. redacta,"Desmond, WA",3585,2001,Mature
Eucalyptus astringens subsp. redacta,"Pallinup River, WA",2243,1999,Mature
Eucalyptus astringens subsp. redacta,"Ravensthorpe, WA",194,1994,Mature
Eucalyptus atrata,"Herberton, QLD",1308,1996,Mature
Eucalyptus aurantiaca,"Derby, WA",1903,2002,Dead
Eucalyptus aurantiaca,"Gregory National Park, NT",4224,2015,Immature
Eucalyptus aurifordina,"Meldon, VIC",6104,2013,Immature
Eucalyptus badjensis,"Mother Woila, NSW",1767,1997,Mature
Eucalyptus baeuerlenii,"Mount Sugarloaf, NSW",6312,2013,Immature
Eucalyptus baeuerlenii,"Wentworth Falls 1, NSW",1227,1996,Matured then died
Eucalyptus baeuerlenii,"Wentworth Falls 2, NSW",6263,2013,Immature
Eucalyptus baileyana,"Baryulgil, NSW",665,1994,Mature
Eucalyptus baileyana,"Blackdown Tableland, QLD",6455,2013,Immature
Eucalyptus baileyana,"Helidon, QLD",2938,2000,Dead
Eucalyptus baiophylla,"Lake Macleod, WA",1181,1995,Mature
Eucalyptus baiophylla,"Lake Macleod, WA",1181,2006,Mature
Eucalyptus bakeri,"Durakai State Forest, QLD",6177,2013,Mature
Eucalyptus bakeri,"Injune, QLD",1269,1996,Mature
Eucalyptus balanites (E. decipiens × E. lanepoolei),"Armadale, WA",4440,2004,Dead
Eucalyptus balanopelex (E. kessellii × E. semiglobosa),"Condingup, WA",169,1993,Mature
Eucalyptus balladoniensis subsp. balladoniensis,"Balladonia, WA",118,1993,Mature
Eucalyptus balladoniensis subsp. balladoniensis,"Mount Ney, WA",3602,2001,Mature
Eucalyptus balladoniensis subsp. sedens,"Zanthus 1, WA",347,1999,Mature
Eucalyptus balladoniensis subsp. sedens,"Zanthus 2, WA",2784,2000,Mature
Eucalyptus bancroftii,"Grafton, NSW",1241,1996,Mature
Eucalyptus banksii,"Armidale, NSW",653,1994,Mature
Eucalyptus barberi,"Butlers Ridge, TAS",7412,2018,Immature
Eucalyptus barberi,"Cranbrook, TAS",1989,1998,Mature
Eucalyptus baudiniana,"Murchison River, WA",5577,2011,Mature
Eucalyptus baudiniana - E. oraria intergrade,"Murchison House Station, WA",5575,2011,Mature
Eucalyptus baueriana,"Dalveen, QLD",1252,1996,Mature
Eucalyptus baueriana,"Metung, VIC",1734,1997,Mature
Eucalyptus baueriana (subsp. deddickensis),"Deddick River, VIC",7378,2018,Immature
Eucalyptus baueriana (subsp. thalassina),Bacchus Marsh VIC,6097,2013,Immature
Eucalyptus baxteri,"Kangaroo Island, SA",815,1995,Matured then died
Eucalyptus baxteri,"Wilsons Promontory, VIC",7234,2017,Immature
Eucalyptus beaniana,"Isla Gorge, QLD",6472,2013,Immature
Eucalyptus beardiana,"Mullewa, WA",5708,2011,Mature
Eucalyptus beardiana,"Nerren Nerren Station, WA",2208,2000,Mature
Eucalyptus behriana,"Cummins, SA",5915,2013,Mature
Eucalyptus behriana,"Edillilie, SA",3183,2001,Mature
Eucalyptus behriana,"Tarcowie, SA",5285,2018,Immature
Eucalyptus behriana,"Tarlee, SA",783,1995,Mature
Eucalyptus behriana,"Warracknabeal, VIC",2065,1998,Mature
Eucalyptus behriana × E. largiflorens,"Warracknabeal, VIC",2065,1998,Mature
Eucalyptus behriana × E. odorata?,"Tarlee, SA",783,1995,Mature
Eucalyptus bennettiae (E. lehmannii × E. sporadica),"Ravensthorpe Range, WA",3576,2001,Mature
Eucalyptus bensonii,"Wollemi Nat. Park, NSW",773,1994,Immature
Eucalyptus benthamii,"Camden, NSW",3203,2001,Mature
Eucalyptus beyeri (E. beyeriana),"Bargo, NSW",1761,1997,Mature
Eucalyptus bicostata,"Mount Bryan, SA",3212,2001,Mature
Eucalyptus bicostata,"Otway Ranges, VIC",468,1994,Mature
Eucalyptus bicostata,"Otway Ranges, VIC",468,1996,Mature
Eucalyptus bicostata,"Otway Ranges, VIC",468,1997,Mature
Eucalyptus binacag,"Mindanao, Philippines",CSIRO 21163,2018,Immature
Eucalyptus biterranea,"Battlecamp, QLD",6438,2013,Immature
Eucalyptus biterranea,"Iron Range, QLD",2518,1999,Mature
Eucalyptus blakelyi,"Bingara, NSW",722,1994,Mature
Eucalyptus blakelyi,"Warby Range, VIC",3796,2002,Mature
Eucalyptus blaxellii,"Geraldton, WA",272,1993,Mature
Eucalyptus blaxlandii,"Kanangra Walls, NSW",6284,2013,Immature
Eucalyptus blaxlandii,"Lithgow, NSW",1225,1997,Dead
Eucalyptus blaxlandii,"Mount Tomah, NSW",2916,2002,Dead
Eucalyptus blaxlandii,"Mount Wilson, NSW",5872,2015,Immature
Eucalyptus boliviana,"Bolivia Hill, NSW",6197,2013,Immature
Eucalyptus bosistoana,"Metung, VIC",1733,1997,Mature
Eucalyptus bosistoana,"Nerrigundah, NSW",2902,2000,Mature
Eucalyptus botryoides,"Orbost, VIC",1739,1997,Mature
Eucalyptus botryoides,"Turpentine Range, NSW",6307,2013,Immature
Eucalyptus brachyandra,"Victoria River, NT",4223,2002,Dead
Eucalyptus brachycalyx,"Yumbarra Con. Park, SA",1072,1995,Mature
Eucalyptus brachycalyx (E. pleurocorys),"Hamersley Inlet, WA",2245,1999,Mature
Eucalyptus brachycalyx (E. pleurocorys),"Madura Beach, WA",2801,2000,Mature
Eucalyptus brachycalyx (E. pleurocorys),"Toolinna Cove, WA",553,1994,Mature
Eucalyptus brachyphylla (E. loxophleba × E. kruseana),"Cardunia Rocks,  WA",338,1994,Mature
Eucalyptus brandiana,"Fitzgerald River, WA",5514,2011,Mature
Eucalyptus brassiana,"Battlecamp, QLD",1316,1996,Mature
Eucalyptus brassiana,"Musgrave, QLD",2512,1999,Mature
Eucalyptus brevifolia,"Tanami Desert, NT",6640,2015,Immature
Eucalyptus brevifolia,"Turkey Creek, WA",1936,1998,Dead
Eucalyptus brevifolia,"Victoria River, NT",4220,2002,Dead
Eucalyptus brevipes,"Mukinbudin, WA",299,1993,Mature
Eucalyptus brevistylis,"Mount Frankland, WA",1141,1995,Mature
Eucalyptus bridgesiana,"Beechworth, VIC",570,1994,Mature
Eucalyptus bridgesiana,"Liverpool Range, NSW",760,1994,Mature
Eucalyptus bridgesiana (E. saxicola),"Mount Canobolas, NSW",5271,2010,Immature
Eucalyptus brockwayi,"Norseman 1, WA",136,1993,Mature
Eucalyptus brockwayi,"Norseman 2, WA",2166,2000,Mature
