Taxon,Population,Mother tree voucher,Year planted,Current status
Eucalyptus saligna,"Blackdown Tableland, QLD",705,1994,Matured then died
Eucalyptus saligna,"Grafton, NSW",2924,2000,Mature
Eucalyptus salmonophloia,"Spinifex Range, WA",341,1994,Mature
Eucalyptus salmonophloia,"Zanthus, WA",2306,1999,Mature
Eucalyptus salubris,"Lake Johnston, WA",3831,2002,Mature
Eucalyptus salubris,"Laverton, WA",2717,2000,Mature
Eucalyptus salubris,"Mount Gibson, WA",3496,2001,Mature
Eucalyptus salubris,"Spinifex Range, WA",342,1993,Mature
Eucalyptus sargentii subsp. onesis,"Carani, WA",3695,2001,Mature
Eucalyptus sargentii subsp. onesis,"Cunderdin, WA",2236,1999,Dead
Eucalyptus sargentii subsp. onesis,"Lake Magenta, WA",6022,2013,Immature
Eucalyptus sargentii subsp. sargentii,"Korda, WA",2229,1999,Mature
Eucalyptus sargentii subsp. sargentii,"Lake Magenta, WA",4412,2004,Immature
Eucalyptus sargentii subsp. sargentii,"Wubin, WA",5551,2011,Immature
Eucalyptus saxatilis,"Little River Gorge, VIC",2069,1998,Mature
Eucalyptus saxatilis,"Mount Wheeler, VIC",4883,2006,Mature
Eucalyptus scias subsp. apoda,"Boonoo Boonoo, NSW",6191,2013,Immature
Eucalyptus scias subsp. apoda,"Tenterfield, NSW",2100,1998,Matured then died
Eucalyptus scias subsp. callimastha,"Batemans Bay, NSW",600,1994,Mature
Eucalyptus scias subsp. callimastha,"Huskisson, NSW",2908,2000,Mature
Eucalyptus scias subsp. scias,"Turpentine Range, NSW",6306,2013,Immature
Eucalyptus scias subsp. scias,"West Head, NSW",2911,2000,Mature
Eucalyptus scoparia,"Tenterfield, NSW",6196,2013,Immature
Eucalyptus scoparia,"Wallangarra, QLD",672,1995,Mature
Eucalyptus scoparia 'Dromana',"Cultivar, nursery origin",,2013,Dead
Eucalyptus scopulorum,"Peregrine Point, NSW",2927,2000,Mature
Eucalyptus scyphocalyx (E. surgens),"Bilbunya Dunes, WA",5997,2013,Mature
Eucalyptus scyphocalyx (E. surgens),"Toolinna Cove, WA",558,1994,Mature
Eucalyptus sp. Great Victoria Desert,"Dundas Nature Reserve, WA",3877,2002,Mature
Eucalyptus sp. Great Victoria Desert,"Jubilee Lake, WA",505,1994,Mature
Eucalyptus sp. Great Victoria Desert,"Lake Minigwal, WA",527,1994,Mature
Eucalyptus sp. Great Victoria Desert,"Nippon Hwy, WA",6945,2017,Immature
Eucalyptus sp. Great Victoria Desert,"Tarcoola, SA",1392,1996,Mature
Eucalyptus sp. Great Victoria Desert,"Yumbarra Con. Park, SA",1079,1995,Mature
Eucalyptus sp. Kalbarri,"Eurardy, WA",5578,2011,Mature
Eucalyptus sp. Kalbarri,"Kalbarri, WA",3530,2001,Mature
Eucalyptus sp. Kitchener,"Cable Haul Road, WA",6951,2017,Immature
Eucalyptus sp. Kitchener,"Zanthus, WA",2790,2000,Mature
Eucalyptus sp. Lake Magenta,"Lake Magenta, WA",5509,2011,Mature
Eucalyptus sp. Lake Magenta,"Moon Lagoon, WA",6025,2013,Mature
Eucalyptus sp. Little Sandy Desert,"Marymia, WA",4284,2002,Mature
Eucalyptus sp. Little Sandy Desert,"Mount Methwin, WA",4289,2002,Mature
Eucalyptus sp. Little Sandy Desert,"Warburton, WA",4704,2006,Mature
Eucalyptus sp. Madura Beach,"Culver Beach, WA",5993,2013,Mature
Eucalyptus sp. Madura Beach,"Madura Beach, WA",1081,1995,Mature
Eucalyptus sp. Mukinbudin,"Elachbutting Hill, WA",3486,2001,Mature
Eucalyptus sp. Mukinbudin,"Nungarin, WA",5033,2010,Mature
Eucalyptus sp. Mulga Rock,"Goongarrie Nature Res., WA",6931,2017,Immature
Eucalyptus sp. Mulga Rock,"Lake Minigwal, WA",522,1994,Mature
Eucalyptus sp. North Balladonia,"Zanthus 1, WA",2795,2000,Dead
Eucalyptus sp. North Balladonia,"Zanthus 2, WA",3620,2001,Mature
Eucalyptus sp. North Balladonia,"Zanthus 3, WA",3625,2001,Mature
Eucalyptus sp. Port Moresby,"Kupiano, PNG",CSIRO 13400,1999,Immature
Eucalyptus sp. Queen Victoria Spring,"Mulga Rockhole, WA",6943,2017,Immature
Eucalyptus sp. South Newdegate lakes,Lake Cobham WA,1861,1997,Mature
Eucalyptus sp. South Newdegate lakes,"Lake Magenta, WA",6021,2013,Mature
Eucalyptus sp. Southern wheatbelt,"Cascade, WA",3713,2001,Dead
Eucalyptus sp. Southern wheatbelt,"Lake Magenta, WA",5507,2011,Mature
Eucalyptus sp. Southern wheatbelt,"Salmon Gums, WA",1105,1995,Mature
Eucalyptus sp. Sullivan Soak ('Moon Lagoon'),"Lake Magenta, WA",5503,2011,Mature
Eucalyptus sp. Truslove,"Grass Patch, WA",3897,2002,Mature
Eucalyptus sparsa,"Blackstone, WA",2684,2000,Mature
Eucalyptus sparsa,"Everard Ranges, SA",427,1994,Mature
Eucalyptus sparsifolia,"Faulconbridge 1, NSW",629,1994,Mature
Eucalyptus sparsifolia,"Faulconbridge 2, NSW",7360,2018,Immature
Eucalyptus sparsifolia (E. ralla),"Yalwal 1, NSW",614,1994,Mature
Eucalyptus sparsifolia (E. ralla),"Yalwal 2, NSW",7361,2018,Immature
Eucalyptus spathulata subsp. salina,"Pingaring, WA",3435,2002,Matured then died
Eucalyptus spathulata subsp. salina,"Quairading, WA",3806,2002,Mature
Eucalyptus spathulata subsp. spathulata,"Katanning, WA",234,1995,Mature
Eucalyptus spathulata subsp. spathulata,"Lake Magenta, WA",4421,2004,Matured then died
Eucalyptus spectatrix,"Bega, NSW",1751,1997,Mature
Eucalyptus sphaerocarpa,"Blackdown Tableland, QLD",704,1998,Immature
Eucalyptus splendens,"Portland, VIC",1722,1997,Matured then died
Eucalyptus sporadica,"Kundip, WA",2248,1999,Mature
Eucalyptus sporadica,"Needilup, WA",204,1993,Mature
Eucalyptus sporadica,"Ravensthorpe, WA",1122,1995,Mature
Eucalyptus sporadica,"Split Rocks, WA",5468,2011,Mature
Eucalyptus spreta,"Fraser Range, WA",3634,2001,Mature
Eucalyptus spreta,"Newman Rock, WA",122,1993,Mature
Eucalyptus spreta (E. paralimnetica),"Kumarl Siding, WA",3898,2002,Matured then died
Eucalyptus squamosa,"Glenbrook, NSW",2072,1998,Mature
Eucalyptus staeri,"Wellstead, WA",1133,1995,Mature
Eucalyptus staigeriana,"Palmer River, QLD",2520,1999,Mature
Eucalyptus steedmanii,"Forrestania, WA",317,1993,Mature
Eucalyptus steedmanii,"Mount Holland, WA",4668,2004,Mature
Eucalyptus stellulata,"Omeo, VIC",582,1994,Mature
Eucalyptus stellulata (E. forresterae),"Brumby Point, VIC",7382,2018,Immature
Eucalyptus stellulata 'Little Star',"Cultivar, nursery origin",,2015,Immature
Eucalyptus stenostoma,"Nerrigundah, NSW",2900,2000,Mature
Eucalyptus stoaptera (E. stoatei × E. tetraptera),"Jerdacuttup, WA",3703,2001,Mature
Eucalyptus stoatei,"Bandalup Hill, WA",181,1994,Mature
Eucalyptus stowardii,"Coorow, WA",281,1993,Mature
Eucalyptus striaticalyx,"Milly Soak, WA",1548,1996,Mature
Eucalyptus striaticalyx,"Milly Soak, WA",1548,2002,Mature
Eucalyptus striaticalyx,"Mongers Lake, WA",5592,2011,Immature
Eucalyptus stricklandii,"Coonana, WA",344,1994,Mature
Eucalyptus stricklandii,"Norseman, WA",3646,2001,Mature
Eucalyptus stricta,"Blue Mountains, NSW",5252,2010,Mature
Eucalyptus stricta,"Ku-Ring-Gai Chase, NSW",3208,2001,Dead
Eucalyptus stricta,"Nowra, NSW",607,1995,Dead
Eucalyptus strzeleckii,"Drouin, VIC",1731,1997,Mature
Eucalyptus strzeleckii,"Lavers Hill, VIC",1725,1997,Mature
Eucalyptus sturgissiana,"Boolijah, NSW",1757,1997,Mature
Eucalyptus subangusta subsp. cerina,"Mukinbudin, WA",301,1993,Mature
Eucalyptus subangusta subsp. pusilla,"Canna, WA",278,1993,Mature
Eucalyptus subangusta subsp. pusilla,"Kalannie, WA",3497,2001,Mature
Eucalyptus subangusta subsp. subangusta,"Pithara, WA",290,1993,Mature
Eucalyptus subangusta subsp. virescens,"Bruce Rock, WA",3451,2001,Mature
Eucalyptus subcaerulea,"Cooraldoral Trig, NSW",2929,2000,Dead
Eucalyptus subcaerulea,"Peregrine Point, NSW",2928,2000,Mature
Eucalyptus subcrenulata,"Derwent Bridge 1, TAS",1970,1998,Dead
Eucalyptus subcrenulata,"Derwent Bridge 2, TAS",7398,2018,Immature
Eucalyptus subcrenulata,"Mount Field, TAS",1977,1998,Dead
Eucalyptus subcrenulata,"Waldheim, TAS",1962,1998,Dead
Eucalyptus suberea,"Badgingarra, WA",3520,2001,Mature
Eucalyptus subtilis,"Cascade, WA",3715,2001,Mature
Eucalyptus subtilis,"Daniell, WA",140,1993,Mature
Eucalyptus subtilis (E. microschema),"Newdegate, WA",187,1993,Mature
Eucalyptus suffulgens,"Isla Gorge 1, QLD",694,1994,Mature
Eucalyptus suffulgens,"Isla Gorge 2, QLD",1267,1996,Mature
Eucalyptus suggrandis subsp. promiscua,"Dragon Rocks, WA",311,1993,Mature
Eucalyptus suggrandis subsp. promiscua,"Newdegate, WA",3721,2001,Mature
Eucalyptus suggrandis subsp. promiscua,"Pingaring, WA",3814,2002,Mature
Eucalyptus suggrandis subsp. promiscua,"Sullivan Soak, WA",4425,2004,Mature
Eucalyptus suggrandis subsp. promiscua × E. tenera?,"Newdegate, WA",3721,2001,Mature
Eucalyptus suggrandis subsp. suggrandis,"Desmond, WA",3583,2001,Mature
Eucalyptus suggrandis subsp. suggrandis,"Hamersley River, WA",4435,2004,Dead
Eucalyptus suggrandis subsp. suggrandis,"Ravensthorpe, WA",197,1993,Mature
Eucalyptus suggrandis subsp. suggrandis,"Twertup, WA",1128,1995,Mature
Eucalyptus sweedmaniana,"Cape Arid, WA",5487,2011,Mature
Eucalyptus sweedmaniana,"Mount Ridley, WA",6015,2013,Mature
Eucalyptus synandra,"Jingymia, WA",297,1993,Mature
Eucalyptus synandra,"Karara, WA",5588,2011,Mature
Eucalyptus talyuberlup,"Stirling Range, WA",228,1994,Mature
Eucalyptus talyuberlup,"Takalarup, WA",4804,2006,Mature
Eucalyptus tardecidens,"Mount Carbine, QLD",2521,1999,Mature
Eucalyptus taurina,"Helidon, QLD",2106,1998,Mature
Eucalyptus tenella,"Rylstone, NSW",763,1994,Mature
Eucalyptus tenera,"Cadoux, WA",2228,1999,Mature
Eucalyptus tenera,"Cascade, WA",3590,2001,Mature
Eucalyptus tenera,"Dragon Rocks, WA",310,1993,Mature
Eucalyptus tenera,"Lake Chinocup, WA",238,1993,Mature
Eucalyptus tenuipes,"Barakula State Forest, QLD",6475,2013,Immature
Eucalyptus tenuipes,"Isla Gorge 1, QLD",693,2011,Immature
Eucalyptus tenuipes,"Isla Gorge 2, QLD",6473,2015,Immature
Eucalyptus tenuiramis,"Bicheno, TAS",6721,2015,Immature
Eucalyptus tenuiramis,"Ouse, TAS",1976,1998,Mature
Eucalyptus tenuis,"Mount Day, WA",326,1993,Mature
Eucalyptus tephroclada,"Hyden, WA",314,1993,Mature
Eucalyptus terebra,"Balladonia, WA",117,1993,Mature
Eucalyptus terebra,"Mount Ney, WA",3607,2001,Mature
Eucalyptus tereticornis subsp. basaltica,"Crows Nest, QLD",2937,2000,Mature
Eucalyptus tereticornis subsp. mediana,"Metung, VIC",1736,1997,Mature
Eucalyptus tereticornis subsp. rotunda,"Carnarvon Range, QLD",1272,1996,Mature
Eucalyptus tereticornis subsp. tereticornis,"Bororen, QLD",713,1994,Mature
Eucalyptus tereticornis subsp. tereticornis,"Kupiano, PNG",CSIRO 13398,1999,Mature
Eucalyptus tereticornis subsp. tereticornis,"Mount Molloy, QLD",CSIRO 13661,1999,Mature
Eucalyptus terrica,"Coolmunda, QLD",6173,2013,Immature
Eucalyptus tetrapleura,"Wells Crossing, NSW",1242,1996,Mature
Eucalyptus tetrapleura,"Wells Crossing, NSW",1242,2000,Mature
Eucalyptus tetraptera,"Ravensthorpe, WA",180,1994,Mature
Eucalyptus tetraptera,"Russell Range, WA",6349,2013,Immature
Eucalyptus tetrodonta,"Mount Elizabeth Station, WA",1918,2002,Dead
Eucalyptus thamnoides,"Quairading, WA",3454,2001,Mature
Eucalyptus thamnoides (subsp. megista),"Kambellup roadhouse, WA",3559,2001,Mature
Eucalyptus tholiformis,"Springsure, QLD",1279,1996,Mature
Eucalyptus thozetiana,"Jericho, QLD",1281,1996,Mature
Eucalyptus tindaliae,"Lamington Plateau, QLD",6801,2015,Immature
Eucalyptus tindaliae,"Mount Tibrogargan, QLD",2109,1998,Mature
Eucalyptus tindaliae,"Wells Crossing, NSW",1243,1997,Mature
Eucalyptus todtiana,"Gingin, WA",247,1999,Immature
Eucalyptus todtiana,"Jurien, WA",5075,2010,Mature
Eucalyptus todtiana,"Watheroo, WA",3763,2002,Dead
Eucalyptus torquata,"Norseman, WA",135,1994,Mature
Eucalyptus tortilis,"Norseman, WA",130,1993,Mature
Eucalyptus transcontinentalis,"Norseman, WA",550,1994,Mature
Eucalyptus tricarpa,"Aireys Inlet, VIC",1727,1997,Mature
Eucalyptus tricarpa,"Avon River, VIC",6784,2015,Immature
Eucalyptus tricarpa (subsp. decora),"Moyreisk, VIC",6105,2013,Immature
Eucalyptus triflora,"Endrick River 1, NSW",606,1993,Matured then died
Eucalyptus triflora,"Endrick River 2, NSW",2904,2000,Dead
Eucalyptus triflora,"Endrick River 3, NSW",6303,2013,Mature
Eucalyptus trivalva,"Lake Everard, SA",5936,2013,Mature
Eucalyptus trivalva,"Lake Minigwal, WA",529,1994,Mature
Eucalyptus trivalva,"McPhersons Pillar, WA",,1992,Mature
Eucalyptus trivalva,"Mount Woodroffe, SA",5200,2010,Immature
Eucalyptus trivalva,"Neale Junction, WA",1534,1996,Mature
Eucalyptus tumida,"Truslove, WA",159,1993,Mature
Eucalyptus ultima,"Cape Range 1, WA",1182,1995,Mature
Eucalyptus ultima,"Cape Range 2, WA",2202,2002,Mature
Eucalyptus umbra,"West Head, NSW",2912,2000,Mature
Eucalyptus umbrawarrensis,"Pine Creek, NT",2458,1999,Immature
Eucalyptus uncinata subsp. Esperance Plains,"Cape Arid, WA",1089,1995,Mature
Eucalyptus uncinata subsp. Esperance Plains,"Scaddan, WA",162,1993,Mature
Eucalyptus uncinata subsp. Mount Short,"Ravensthorpe Range, WA",3575,2001,Mature
Eucalyptus uncinata subsp. uncinata,"Culver Beach, WA",5922,2013,Mature
Eucalyptus uncinata subsp. uncinata,"Desmond, WA",195,1995,Mature
Eucalyptus uncinata subsp. uncinata,"Quairading, WA",3453,2001,Mature
Eucalyptus urna,"Balladonia, WA",1087,1995,Mature
Eucalyptus urna,"Caiguna, WA",1817,1997,Mature
Eucalyptus urna,"Kumarl Siding, WA",1838,1997,Mature
Eucalyptus urna,"Newdegate, WA",1851,1997,Matured then died
Eucalyptus urnigera,"Mount Wellington 1, TAS",1981,1998,Dead
Eucalyptus urnigera,"Mount Wellington 2, TAS",7410,2018,Immature
Eucalyptus utilis (E. platypus var. heterophylla),"Beaufort Inlet, WA",215,1994,Mature
Eucalyptus utilis (E. platypus var. heterophylla),"Hopetoun, WA",3705,2001,Mature
Eucalyptus utilis (E. platypus var. heterophylla),"Lake Quallilup, WA",5493,2011,Mature
Eucalyptus utilis (E. platypus var. heterophylla),"Middle Island, WA",4589,2004,Mature
Eucalyptus utilis (E. platypus var. heterophylla),"Twilight Cove, WA",5976,2013,Mature
Eucalyptus valens,"Truslove, WA",158,2000,Mature
Eucalyptus varia,"Scaddan, WA",163,1993,Mature
Eucalyptus varia,"Scaddan, WA",163,1996,Mature
Eucalyptus varia (subsp. salsuginosa),"Condingup, WA",167,1993,Mature
Eucalyptus vegrandis subsp. recondita,"Amelup, WA",1883,1997,Mature
Eucalyptus vegrandis subsp. recondita,"Borden, WA",1621,1997,Mature
Eucalyptus vegrandis subsp. vegrandis,"Jerramungup, WA",207,1993,Mature
Eucalyptus vegrandis subsp. vegrandis,"Needilup, WA",201,1993,Mature
Eucalyptus vegrandis subsp. vegrandis,"Ongerup, WA",3563,2001,Mature
Eucalyptus vernicosa,"Hartz Mountains, TAS",2577,2010,Dead
Eucalyptus vernicosa,"Mount Zeehan, TAS",7418,2018,Immature
Eucalyptus verrucata,"Mirranatwa Gap, VIC",455,1994,Mature
Eucalyptus verrucata,"Mount Abrupt 1, VIC",357,1994,Matured then died
Eucalyptus verrucata,"Mount Abrupt 2, VIC",3787,2002,Mature
Eucalyptus vesiculosa,"Corackerup Nature Res., WA",3565,2001,Mature
Eucalyptus vicina,"Byngnano Range, NSW",2964,2000,Mature
Eucalyptus vicina,"Cobar, NSW",728,1994,Mature
Eucalyptus vicina,"Mootwingie, NSW",6502,2013,Immature
Eucalyptus vicina,"Mount Hope, NSW",6147,2013,Immature
Eucalyptus victoriana,"Mount Thackeray 1, VIC",358,1994,Matured then died
Eucalyptus victoriana,"Mount Thackeray 2, VIC",3786,2002,Mature
Eucalyptus victoriana,"Mount Thackeray 3, VIC",6093,2013,Mature
Eucalyptus victrix,"Barrow Creek, NT",2436,1999,Mature
Eucalyptus victrix,"Gibson Desert, WA",,1993,Mature
Eucalyptus victrix,"Lake Macleod, WA",1178,1995,Mature
Eucalyptus victrix,"Murchison River, WA",5568,2011,Immature
Eucalyptus viminalis subsp. cygnetensis,"Port Lincoln 1, SA",941,1995,Mature
Eucalyptus viminalis subsp. cygnetensis,"Port Lincoln 2, SA",5907,2013,Immature
Eucalyptus viminalis subsp. hentyensis,"Arthur River, TAS",7425,2018,Immature
Eucalyptus viminalis subsp. hentyensis,"Zeehan 1, TAS",1969,1998,Matured then died
Eucalyptus viminalis subsp. hentyensis,"Zeehan 2, TAS",6961,2017,Immature
Eucalyptus viminalis subsp. pryoriana,"Marlo, VIC",1740,1997,Matured then died
Eucalyptus viminalis subsp. pryoriana,"Tooradin, VIC",7235,2018,Immature
Eucalyptus viminalis subsp. siliciana,"Dimboola, VIC",6108,2013,Immature
Eucalyptus viminalis subsp. viminalis,"Lavers Hill, VIC",1724,1997,Matured then died
Eucalyptus viminalis subsp. viminalis,"Mount Kapultar, NSW",6158,2013,Immature
Eucalyptus virens,"Carnarvon Range, QLD",2116,1998,Mature
Eucalyptus virginea,"Denmark, WA",4635,2006,Mature
Eucalyptus virginea,"Meelup, WA",5536,2011,Immature
Eucalyptus viridis,"Cobar, NSW",729,1994,Mature
Eucalyptus viridis,"Durakai State Forest, QLD",6176,2013,Mature
Eucalyptus viridis × E. froggattii?,"Kamarooka, VIC",4534,2004,Mature
Eucalyptus viridis var. latiuscula (E. woollsiana × E. viridis),"Inglewood, QLD",6172,2013,Mature
Eucalyptus vittata,"Forrestania, WA",3667,2001,Mature
Eucalyptus vittata,"Lake Johnston, WA",3830,2002,Mature
Eucalyptus vittata,"Yellowdine, WA",3474,2001,Mature
Eucalyptus vokesensis,"Maralinga, SA",1502,1996,Immature
Eucalyptus vokesensis,"Ooldea Range, SA",2619,2000,Mature
Eucalyptus volcanica,"Mount Kapultar, NSW",6157,2013,Immature
Eucalyptus volcanica (E. retinens),"Tia Falls, NSW",6231,2013,Immature
Eucalyptus volcanica (E. retinens),"Wollomombi, NSW",648,1994,Mature
Eucalyptus walshii (E. microcarpa × E. wimmerensis),"Little Desert, VIC",6866,2017,Immature
Eucalyptus wandoo subsp. pulverea,"Watheroo, WA",285,1993,Mature
Eucalyptus wandoo subsp. wandoo,"Hyden, WA",3447,2001,Mature
Eucalyptus wandoo subsp. wandoo,"Stirling Range, WA",230,1993,Mature
Eucalyptus wandoo subsp. wandoo,"Stirling Range, WA",230,1999,Mature
Eucalyptus websteriana,"Kambalda, WA",331,1993,Mature
Eucalyptus websteriana,"PCN Baseline Rd, WA",6947,2017,Immature
Eucalyptus websteriana (subsp. norsemanica),"Norseman, WA",138,1993,Mature
Eucalyptus whitei,"Torrens Creek, QLD",2536,1999,Mature
Eucalyptus wilcoxii,"Mother Woila, NSW",1768,1997,Mature
Eucalyptus wilcoxii,"Mother Woila, NSW",1768,2002,Mature
Eucalyptus williamsiana,"Gibraltar Range, NSW",660,1994,Mature
Eucalyptus willisii,"Wilsons Promontory, VIC",7233,2018,Immature
Eucalyptus wimmerensis,"Bordertown, SA",1590,1996,Mature
Eucalyptus woodwardii,"Karonie, WA",2300,1999,Mature
Eucalyptus woodwardii,"Spinifex Range, WA",340,1994,Mature
Eucalyptus woollsiana (E. pilligaensis),"Tara, QLD",681,1994,Mature
Eucalyptus wubinensis,"Kalannie, WA",3498,2001,Mature
Eucalyptus wyolensis,"Oak Valley 1, SA",112,1993,Mature
Eucalyptus wyolensis,"Oak Valley 2, SA",2633,2002,Mature
Eucalyptus xanthonema subsp. apposita,"Pallinup River, WA",5062,2010,Mature
Eucalyptus xanthonema subsp. apposita,"Stirling Range, WA",232,1993,Mature
Eucalyptus xanthonema subsp. xanthonema,"Needilup, WA",202,1993,Mature
Eucalyptus xerothermica,"Cape Range, WA",1183,1995,Mature
Eucalyptus xerothermica,"Newman, WA",541,1994,Mature
Eucalyptus xerothermica,"Tom Price, WA",1187,1995,Mature
Eucalyptus yalatensis,"Israelite Bay, WA",6000,2013,Mature
Eucalyptus yalatensis,"Lock, SA",950,1995,Mature
Eucalyptus yalatensis,"Madura Pass, WA",2142,2000,Mature
Eucalyptus yalatensis,"Nullarbor, SA",2129,2000,Mature
Eucalyptus yalatensis,"Sherlock, SA",2878,2002,Mature
Eucalyptus yarraensis,"Melbourne, VIC",1728,1997,Mature
Eucalyptus yarriambiack (E. largiflorens × E. odorata),"Brim, VIC",6780,2015,Immature
Eucalyptus yilgarnensis,"Callion, WA",6926,2018,Immature
Eucalyptus yilgarnensis,"Diemals Station, WA",1566,1996,Mature
Eucalyptus youmanii,"Armidale, NSW",654,1994,Mature
Eucalyptus youmanii,"Armidale, NSW",654,1999,Mature
Eucalyptus youmanii (E. subtilior),"Stanthorpe, QLD",676,1994,Immature
Eucalyptus youmanii (E. subtilior),"Stanthorpe, QLD",676,1999,Mature
Eucalyptus youngiana,"Fraser Range, WA",4542,2006,Mature
Eucalyptus youngiana,"Lake Minigwal, WA",523,1994,Mature
Eucalyptus youngiana,"Nalara Rock, SA",5938,2013,Mature
Eucalyptus youngiana,"Neale Junction, WA",1535,1997,Mature
Eucalyptus yumbarrana,"Yumbarra Con. Park 1, SA",1078,1995,Mature
Eucalyptus yumbarrana,"Yumbarra Con. Park 2, SA",1808,1997,Mature
Eucalyptus zopherophloia,"Cliff Head, WA",267,1993,Mature
